2025-07-05 11:29:03 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:33:30 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:31 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:32 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:33 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:34 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:35 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:36 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:37 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:38 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:39 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:40 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:41 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:42 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:43 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:44 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:45 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:46 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:47 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:48 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:49 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:50 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:51 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:52 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:53 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:54 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:55 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:56 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
